"attributeName","attributeLabel","attributeDefinition","storageType","definition","measurementScale","domain","formatString","unit","numberType"
"feathers_coll","feathers_coll","Which feathers were collected for ASDN archive","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"moss_feather_sample","moss_feather_sample","Whether 3-5 breast feathers were collected for moss dispersal side-project","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"fecal_sample","fecal_sample","Whether fecal sample was collected (passive sampling by placing bird in box for few minutes) for gut microbiota side-project.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"fecal_sample_pres","fecal_sample_pres","What type of preservative was used for fecal sample","string","
                    100ethanol, 70isopropanol, 91isopropanol (numbers indicate proofs).
                  ","nominal","textDomain",NA,NA,NA
"AI_swab","AI_swab","Whether cloaca was swabbed for avian influenza testing","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"AI_sample_num","AI_sample_num","Avian influenza sample number if applicable","string","
                    Avian influenza sample number if applicable
                  ","nominal","textDomain",NA,NA,NA
"AI_sample_type","AI_sample_type","Type of sample taken for avian influenca, if applicable.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"malaria_plasma","malaria_plasma","Whether a blood plasma sample was taken for malaria testing.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"malaria_RBC","malaria_RBC","Whether a red blood cell sample was taken for malaria testing.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"malaria_rbcpres","malaria_rbcpres","Type of preservative for malaria red blood cell sample","string","longmire","nominal","textDomain",NA,NA,NA
"RNALater_blood","RNALater_blood","Whether a blood sample was taken for RNALater analysis","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"RNALater_cap","RNALater_cap","Type of capillary tube used to collect RNALater blood sample","string","
                        heparin, plain (no anti-coagulant), blank = no sample collected
                      ","nominal","textDomain",NA,NA,NA
"blood_pres","blood_pres","Preservative","string","
                        Preservative used for other types of blood samples
                      ","nominal","textDomain",NA,NA,NA
"blood_cap","blood_cap","Type of capillary tube used to store blood sample","string","
                        EDTA, plain, blank = no sample collected
                      ","nominal","textDomain",NA,NA,NA
"MethylHg_blood","MethylHg_blood","Whether a blood sample was taken for methyl mercury testing.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"ChickEggNum","ChickEggNum","Label/identifier of egg or chick","string","
                    Label/identifier of egg or chick from a particular nest (1 through 4).
                  ","nominal","textDomain",NA,NA,NA
"Chick_sample","Chick_sample","Whether a tissue sample was taken from a chick.","string",NA,"nominal","enumeratedDomain",NA,NA,NA
"Chick_sample_type","Chick_sample_type","Type of tissue sample taken from chick, if applicable.","string","
                    Type of tissue sample taken from chick, if applicable. ""Specimen"" indicates whole chick was preserved
                  ","nominal","textDomain",NA,NA,NA
"Comments",NA,"Additional comments","string","
                    Any further field or data-management notes relevant to this record.  ""ELW note"" indicates data-management comment added by Emily Weiser.
                  ","nominal","textDomain",NA,NA,NA
"Plot_limit_corr","Plot_limit_corr","Corrected plot limit values calculated in GIS","string","
                    Corrected ""Plot_limit"""" GIS calculations: indicates whether the bird was captured within (in) or outside (out) of the boundaries of a nest monitoring study plot. If not given, assume the bird was captured on-plot.
                  ","nominal","textDomain",NA,NA,NA
