"code","definition","attributeName"
"5","
                          new feather fully grown
                        ","ffm_s1, ... ffm_s10"
"0","
                        old feathers present
                        ","tfm_1, ... tfm_6"
"1","
                          old feather missing/new pin feather present
                        ","tfm_1, ... tfm_6"
"2","
                          new feather emerging to 1/3 grown
                        ","tfm_1, ... tfm_6"
"3","
                          new between 1/3-2/3 grown
                        ","tfm_1, ... tfm_6"
"4","
                         new feather greater than 2/3 grown with sheath
                        ","tfm_1, ... tfm_6"
"5","
                          new feather fully grown
                        ","tfm_1, ... tfm_6"
"0","
                        all old feathers
                        ","bm_head, bm_neck, bm_back, bm_brst, bm_abd"
"2","
                          a few new feathers
                        ","bm_head, bm_neck, bm_back, bm_brst, bm_abd"
"3","
                          about 1/2 of feathers replaced
                        ","bm_head, bm_neck, bm_back, bm_brst, bm_abd"
"4","
                         most feathers replaced
                        ","bm_head, bm_neck, bm_back, bm_brst, bm_abd"
"5","
                          all feathers new
                        ","bm_head, bm_neck, bm_back, bm_brst, bm_abd"
"0","
                      none
                    ","Fat"
"1","
                      furcular hollow, less than 5% filled
                    ","Fat"
"2","
                      bottom of furculum covered, less than 1/3 full
                    ","Fat"
"3","
                      furculum 1/3-2/3 full, wing pit/abdomen
                    ","Fat"
"4","
                      furculum 2/3 to level w/clavicles, wing, abdomen
                    ","Fat"
"5","
                      bulging slightly above furculum
                    ","Fat"
"6","
                      bulging greatly in all areas
                    ","Fat"
"y","
                      about 100 µl of blood taken for avian malaria testing
                    ","malaria_blood"
"n","
                      no blood samples taken for testing
                    ","malaria_blood"
"y","
                      about 25 to 50 ul of blood collected for genetic sample
                    ","genetic_blood"
"n","
                      no blood samples taken for testing
                    ","genetic_blood"
"y","
                      about 60 µl blood collected in heparin capillary tube for methyl mercury testing
                    ","Hg_blood"
"n","
                      no blood samples taken for testing
                    ","Hg_blood"
"y","yes","ASDN_feather_sample"
"n","no","ASDN_feather_sample"
"1pL,1pR","1st primary on left and right wing","feathers_coll"
"8sL,8sR","8th secondary on left and right wing","feathers_coll"
"1rR","1st rectrix on right side of tail","feathers_coll"
"1p,2p","1st and 2nd primary - wing unknown","feathers_coll"
"6pcL, 6pcR","6 primary covert on left and right wing","feathers_coll"
"brst","breast feathers only","feathers_coll"
"1pL,1pR,brst","1st primary on left and right wing and breast feathers","feathers_coll"
"y","feathers collected but no info on which feathers","feathers_coll"
"n","no feathers collected","feathers_coll"
"n","no","moss_feather_sample"
"y","yes","moss_feather_sample"
"n","no","fecal_sample"
"y","yes","fecal_sample"
"n","no","AI_swab"
"y","yes","AI_swab"
"op","oropharyngeal","AI_sample_type"
"both","oropharyngeal and cloacal","AI_sample_type"
"y","yes","malaria_plasma"
"n","no","malaria_plasma"
"y","yes","malaria_RBC"
"n","no","malaria_RBC"
"y","yes","RNALater_blood"
"n","no","RNALater_blood"
"y","yes","MethylHg_blood"
"n","no","MethylHg_blood"
"y","yes; some samples have identifiers/label numbers","Chick_sample"
"n","no","Chick_sample"
